;model;batch_size;epoch;train_ratio;accuracy_score
0;GRU;32;10;0.2;0.8511475409836066
1;GRU;64;10;0.2;0.861639344262295
2;GRU;128;10;0.2;0.8655737704918033
3;GRU;32;15;0.2;0.8642622950819672
4;GRU;64;15;0.2;0.8655737704918033
5;GRU;128;15;0.2;0.8701639344262295
6;GRU;32;10;0.3;0.8696982947092261
7;GRU;64;10;0.3;0.8718845649322257
8;GRU;128;10;0.3;0.8622649759510276
9;GRU;32;15;0.3;0.8587669435942282
10;GRU;64;15;0.3;0.8644512461740271
11;GRU;128;15;0.3;0.8583296895496283
12;GRU;32;10;0.4;0.844211216792391
13;GRU;64;10;0.4;0.850114791734995
14;GRU;128;10;0.4;0.8468350278779928
15;GRU;32;15;0.4;0.8488028861921941
16;GRU;64;15;0.4;0.8468350278779928
17;GRU;128;15;0.4;0.8520826500491965
