;model;batch_size;epoch;train_ratio;accuracy_score
0;LSTM;32;10;0.2;0.8727868852459016
1;LSTM;64;10;0.2;0.8688524590163934
2;LSTM;128;10;0.2;0.8629508196721312
3;LSTM;32;15;0.2;0.8727868852459016
4;LSTM;64;15;0.2;0.8721311475409836
5;LSTM;128;15;0.2;0.8629508196721312
6;LSTM;32;10;0.3;0.8592041976388282
7;LSTM;64;10;0.3;0.8644512461740271
8;LSTM;128;10;0.3;0.8583296895496283
9;LSTM;32;15;0.3;0.8679492785308264
10;LSTM;64;15;0.3;0.8718845649322257
11;LSTM;128;15;0.3;0.8675120244862266
12;LSTM;32;10;0.4;0.8547064611347983
13;LSTM;64;10;0.4;0.8458510987208921
14;LSTM;128;10;0.4;0.8586421777632011
15;LSTM;32;15;0.4;0.8465070514922926
16;LSTM;64;15;0.4;0.8540505083633978
17;LSTM;128;15;0.4;0.8504427681206953
