text_id;tweet_cleaned_id;tweet_preprocessed
Kembangkan ETLE, 7 Polda Dapat Penghargaan di Rakernis Fungsi Gakkum https://t.co/FmqJ5SAFLE;kembangkan etle  polda dapat penghargaan di rakernis fungsi gakkum ;['kembang', 'etle', 'polda', 'harga', 'rakernis', 'fungsi', 'gakkum']
"Sosialisasi etle dan app smart city

#polsekrambangtengah https://t.co/d8BUmEZZJ5";sosialisasi etle dan app smart city  ;['sosialisasi', 'etle', 'app', 'smart', 'city']
Berita populer kumparanOTO, Selasa (13/12) detail Vespa Batik seharga Rp 77 juta, cara kerja dan jenis pelanggaran tilang ETLE mobile. #kumparanOTO https://t.co/YtXCinS9NK;berita populer kumparanoto selasa  detail vespa batik seharga rp  juta cara kerja dan jenis pelanggaran tilang etle mobile  ;['berita', 'populer', 'kumparanoto', 'selasa', 'detail', 'vespa', 'batik', 'harga', 'rp', 'juta', 'kerja', 'jenis', 'langgar', 'bukti', 'langgar', 'etle', 'mobile']
"Mimin kasih info ya gaes, kita mau uji coba ETLE di wilayah Tangerang Kota nih..

Yukss patuhi peraturan Lalu Lintas, biar ngga dapet surat cinta dari mimin 🤭 https://t.co/rV1oW4Z3Xo";mimin kasih info ya gaes kita mau uji coba etle di wilayah tangerang kota nih yukss patuhi peraturan lalu lintas biar ngga dapet surat cinta dari mimin  ;['mimin', 'kasih', 'informasi', 'iya', 'teman', 'uji', 'coba', 'etle', 'wilayah', 'tangerang', 'kota', 'yukss', 'patuh', 'atur', 'lintas', 'surat', 'cinta', 'mimin']
"personil lalu lintas polres badung melaksanakan teguran secara humanis kepada masyarakat yang tidak mempergunakan helm..
.
#polri
#poskopresisi
#polresbadung
#satlantaspolresbadung
#tilangelektronik
#etle
#teguranhumanis https://t.co/L0jxsZFPmn";personil lalu lintas polres badung melaksanakan teguran secara humanis kepada masyarakat yang tidak mempergunakan helm         ;['personil', 'lintas', 'polres', 'badung', 'laksana', 'tegur', 'humanis', 'masyarakat', 'helm']
Komisioner Kompolnas Sambut Baik dan Apresiasi Kebijakan Kapolri Terkait ETLE https://t.co/4lZhDT27fK;komisioner kompolnas sambut baik dan apresiasi kebijakan kapolri terkait etle ;['komisioner', 'kompolnas', 'sambut', 'apresiasi', 'bijak', 'kapolri', 'kait', 'etle']
Jumlah dakgar lantas selama 1x24 jam yang tercapture kamera Etle https://t.co/hbCBOjH6wR;jumlah dakgar lantas selama x jam yang tercapture kamera etle ;['dakgar', 'lantas', 'x', 'jam', 'tercapture', 'kamera', 'etle']
Polda Metro Jaya Akan Deteksi Pengendara Tak Miliki SIM Lewat ETLE https://t.co/gkglkRKUJG;polda metro jaya akan deteksi pengendara tak miliki sim lewat etle ;['polda', 'metro', 'jaya', 'deteksi', 'kendara', 'milik', 'sim', 'etle']
@siapkawalpolri Menurut saya e-tilang ini menjadi trobosan baru yang harus segera diterapkan. Selain itu e-tilang ini juga sangat efektif untuk menertibkan para pengendara motor dan mobil tanpa harus ada tindakan ambil kunci dijalanan. Semoga bisa menjadi solusi ya pak @ListyoSigitP.👍; menurut saya etilang ini menjadi trobosan baru yang harus segera diterapkan selain itu etilang ini juga sangat efektif untuk menertibkan para pengendara motor dan mobil tanpa harus ada tindakan ambil kunci dijalanan semoga bisa menjadi solusi ya pak ;['etilang', 'trobosan', 'terap', 'etilang', 'efektif', 'tertib', 'kendara', 'motor', 'mobil', 'tindak', 'ambil', 'kunci', 'jalan', 'moga', 'solusi', 'iya']
#ColtliqEkajaya #Otomotif Jenis Pelanggaran yang Bakal Kena Tilang Elektronik https://t.co/nuAC1tyQ3o;  jenis pelanggaran yang bakal kena tilang elektronik ;['jenis', 'langgar', 'kena', 'bukti', 'langgar', 'elektronik']
