;model;batch_size;epoch;train_ratio;accuracy_score
0;LSTM;32;10;0.2;0.7740157480314961
1;LSTM;64;10;0.2;0.7031496062992126
2;LSTM;128;10;0.2;0.7173228346456693
3;LSTM;32;15;0.2;0.7125984251968503
4;LSTM;64;15;0.2;0.7094488188976378
5;LSTM;128;15;0.2;0.7204724409448819
6;LSTM;32;10;0.3;0.6440944881889764
7;LSTM;64;10;0.3;0.6803149606299213
8;LSTM;128;10;0.3;0.7343832020997375
9;LSTM;32;15;0.3;0.7433070866141732
10;LSTM;64;15;0.3;0.7123359580052493
11;LSTM;128;15;0.3;0.6356955380577428
12;LSTM;32;10;0.4;0.7149606299212599
13;LSTM;64;10;0.4;0.7220472440944882
14;LSTM;128;10;0.4;0.7165354330708661
15;LSTM;32;15;0.4;0.6893700787401574
16;LSTM;64;15;0.4;0.6645669291338583
17;LSTM;128;15;0.4;0.6948818897637795
